"voter_id";"expectation"
1019;"Job Opportunities"
1040;"Job Opportunities"
1066;"Job Opportunities"
1092;"Job Opportunities"
1095;"Job Opportunities"
1115;"Tax reduction"
1127;"Tax reduction"
1133;"Tax reduction"
1135;"Tax reduction"
1139;"Reduce Crime"
1151;"Job Opportunities"
1162;"Tax reduction"
1167;"Job Opportunities"
1173;"Job Opportunities"
1199;"Job Opportunities"
1201;"Job Opportunities"
1214;"Reduce Crime"
1281;"Reduce Crime"
1289;"Reduce Crime"
1304;"Better Education"
1008;"Reduce Crime"
1015;"Reduce Crime"
1022;"Reduce Crime"
1059;"Reduce Crime"
1067;"Reduce Crime"
1077;"Reduce Crime"
1081;"Reduce Crime"
1094;"Reduce Crime"
1097;"Reduce Crime"
1100;"Reduce Crime"
1105;"Reduce Crime"
1108;"Tax reduction"
1120;"Tax reduction"
1177;"Tax reduction"
1196;"Tax reduction"
1207;"Tax reduction"
1219;"Tax reduction"
1239;"Tax reduction"
1240;"Better Education"
1284;"Other"
1002;"Job Opportunities"
1004;"Job Opportunities"
1007;"Job Opportunities"
1012;"Job Opportunities"
1030;"Job Opportunities"
1035;"Job Opportunities"
1048;"Job Opportunities"
1054;"Job Opportunities"
1055;"Job Opportunities"
1072;"Job Opportunities"
1093;"Job Opportunities"
1107;"Job Opportunities"
1118;"Job Opportunities"
1122;"Other"
1126;"Other"
1142;"Other"
1161;"Other"
1170;"Other"
1171;"Other"
1179;"Other"
1198;"Other"
1217;"Other"
1222;"Other"
1234;"Other"
1236;"Other"
1247;"Other"
1249;"Other"
1256;"Other"
1259;"Other"
1264;"Other"
1272;"Other"
1006;"Other"
1014;"Tax reduction"
1020;"Tax reduction"
1021;"Tax reduction"
1023;"Tax reduction"
1027;"Tax reduction"
1029;"Tax reduction"
1036;"Tax reduction"
1042;"Tax reduction"
1043;"Tax reduction"
1044;"Tax reduction"
1045;"Tax reduction"
1046;"Tax reduction"
1047;"Tax reduction"
1053;"Tax reduction"
1058;"Tax reduction"
1061;"Tax reduction"
1062;"Tax reduction"
1064;"Tax reduction"
1069;"Tax reduction"
1080;"Tax reduction"
1085;"Tax reduction"
1087;"Tax reduction"
1090;"Tax reduction"
1099;"Tax reduction"
1102;"Tax reduction"
1104;"Tax reduction"
1109;"Tax reduction"
1114;"Tax reduction"
1121;"Tax reduction"
1130;"Tax reduction"
1132;"Tax reduction"
1149;"Tax reduction"
1160;"Tax reduction"
1166;"Tax reduction"
1168;"Tax reduction"
1175;"Tax reduction"
1178;"Tax reduction"
1180;"Tax reduction"
1181;"Tax reduction"
1182;"Tax reduction"
1191;"Tax reduction"
1202;"Tax reduction"
1205;"Tax reduction"
1209;"Tax reduction"
1213;"Tax reduction"
1218;"Better Education"
1223;"Tax reduction"
1225;"Tax reduction"
1226;"Tax reduction"
1228;"Tax reduction"
1229;"Job Opportunities"
1230;"Tax reduction"
1232;"Tax reduction"
1233;"Tax reduction"
1238;"Tax reduction"
1245;"Tax reduction"
1248;"Tax reduction"
1253;"Tax reduction"
1254;"Tax reduction"
